iter	Passed	Remaining
170	1146	4219
171	1151	4205
172	1156	4192
173	1161	4179
174	1166	4166
175	1171	4151
176	1175	4139
177	1180	4126
178	1185	4111
179	1190	4098
180	1195	4089
181	1200	4076
182	1205	4063
183	1209	4049
184	1214	4037
185	1219	4024
186	1224	4012
187	1229	4001
188	1234	3990
189	1239	3979
190	1244	3967
191	1248	3954
192	1253	3943
193	1258	3931
194	1263	3920
195	1268	3907
196	1272	3894
197	1277	3883
198	1282	3872
199	1286	3859
200	1290	3847
201	1295	3835
202	1300	3824
203	1305	3812
204	1309	3800
205	1313	3788
206	1319	3778
207	1323	3767
208	1328	3756
209	1334	3749
210	1339	3740
211	1345	3730
212	1349	3719
213	1354	3710
214	1360	3701
215	1365	3691
216	1370	3682
217	1375	3673
218	1381	3663
219	1385	3653
220	1390	3643
221	1395	3634
222	1400	3624
223	1405	3614
224	1410	3605
225	1415	3595
226	1421	3588
227	1426	3579
228	1431	3569
229	1436	3559
230	1442	3552
231	1446	3541
232	1451	3532
233	1456	3524
234	1461	3514
235	1466	3504
236	1472	3497
237	1477	3487
238	1481	3478
239	1486	3468
240	1490	3458
241	1494	3447
242	1499	3437
243	1503	3426
244	1508	3416
245	1512	3406
246	1517	3396
247	1522	3388
248	1526	3378
249	1531	3369
250	1536	3360
251	1540	3350
252	1545	3342
253	1550	3332
254	1555	3324
255	1560	3315
256	1565	3306
257	1570	3298
258	1574	3289
259	1580	3281
260	1585	3275
261	1591	3268
262	1597	3261
263	1603	3255
264	1608	3248
265	1613	3239
266	1620	3234
267	1625	3227
268	1631	3220
269	1636	3211
270	1641	3204
271	1648	3199
272	1653	3191
273	1658	3183
274	1662	3174
275	1668	3167
276	1673	3159
277	1678	3151
278	1683	3144
279	1688	3136
280	1694	3128
281	1699	3122
282	1705	3115
283	1710	3108
284	1715	3100
285	1720	3092
286	1725	3085
287	1730	3076
288	1735	3068
289	1739	3059
290	1744	3052
291	1750	3046
292	1755	3038
293	1761	3031
294	1766	3023
295	1770	3014
296	1775	3006
297	1780	2999
298	1785	2991
299	1790	2983
300	1794	2975
301	1799	2967
302	1805	2960
303	1810	2953
304	1815	2946
305	1820	2938
306	1826	2932
307	1831	2925
308	1836	2917
309	1842	2911
310	1847	2904
311	1852	2897
312	1857	2890
313	1862	2883
314	1868	2876
315	1873	2869
316	1878	2862
317	1883	2855
318	1889	2848
319	1895	2843
320	1900	2836
321	1906	2829
322	1911	2822
323	1916	2815
324	1921	2809
325	1928	2803
326	1934	2797
327	1940	2792
328	1946	2786
329	1951	2779
330	1957	2773
331	1962	2766
332	1968	2759
333	1973	2753
334	1982	2751
335	1988	2746
336	1994	2740
337	2000	2734
338	2006	2728
339	2012	2723
340	2019	2718
341	2028	2716
342	2035	2711
343	2041	2706
344	2047	2700
345	2052	2693
346	2058	2686
347	2063	2680
348	2068	2672
349	2073	2665
350	2078	2658
351	2083	2651
352	2088	2644
353	2093	2637
354	2098	2629
355	2103	2623
356	2107	2615
357	2112	2607
358	2116	2600
359	2121	2592
360	2125	2584
361	2130	2577
362	2134	2570
363	2139	2562
364	2144	2555
365	2149	2548
366	2153	2540
367	2158	2533
368	2163	2527
369	2168	2520
370	2173	2513
371	2178	2506
372	2183	2499
373	2187	2492
374	2192	2484
375	2197	2477
376	2202	2471
377	2206	2463
378	2211	2456
379	2216	2449
380	2221	2442
381	2225	2435
382	2231	2429
383	2235	2422
384	2240	2414
385	2245	2407
386	2249	2400
387	2254	2393
388	2259	2386
389	2263	2379
390	2267	2372
391	2272	2364
392	2276	2357
393	2281	2350
394	2285	2343
395	2289	2336
396	2294	2328
397	2298	2321
398	2303	2315
399	2308	2308
400	2312	2301
401	2317	2294
402	2322	2287
403	2327	2280
404	2331	2273
405	2336	2267
406	2340	2260
407	2345	2253
408	2350	2246
409	2354	2239
410	2359	2232
411	2364	2226
412	2369	2219
413	2373	2212
414	2377	2205
415	2382	2199
416	2387	2192
417	2391	2185
418	2395	2178
419	2400	2171
420	2404	2164
421	2409	2158
422	2414	2151
423	2418	2144
424	2423	2137
425	2427	2131
426	2432	2124
427	2437	2118
428	2442	2111
429	2448	2106
430	2452	2099
431	2457	2093
432	2462	2086
433	2466	2080
434	2471	2073
435	2476	2067
436	2481	2061
437	2486	2054
438	2491	2048
439	2496	2042
440	2501	2036
441	2506	2030
442	2511	2023
443	2516	2017
444	2521	2011
445	2525	2004
446	2529	1997
447	2534	1991
448	2539	1985
449	2543	1978
450	2548	1971
451	2552	1965
452	2557	1958
453	2561	1952
454	2566	1946
455	2571	1940
456	2576	1933
457	2582	1928
458	2608	1938
459	2629	1943
460	2636	1938
461	2643	1933
462	2657	1934
463	2662	1928
464	2667	1921
465	2673	1916
466	2679	1910
467	2684	1904
468	2690	1898
469	2695	1892
470	2701	1886
471	2707	1881
472	2713	1876
473	2720	1871
474	2727	1866
475	2733	1860
476	2739	1855
477	2746	1849
478	2751	1843
479	2756	1837
480	2761	1831
481	2768	1826
482	2774	1820
483	2779	1815
484	2785	1809
485	2791	1803
486	2798	1798
487	2803	1792
488	2808	1786
489	2814	1780
490	2819	1774
491	2825	1768
492	2831	1763
493	2838	1758
494	2843	1752
495	2852	1748
496	2857	1742
497	2864	1736
498	2870	1731
499	2876	1725
500	2881	1719
501	2887	1714
502	2892	1707
503	2899	1702
504	2907	1698
505	2913	1692
506	2919	1687
507	2926	1682
508	2932	1676
509	2938	1671
510	2946	1666
511	2954	1661
512	2960	1656
513	2967	1650
514	2973	1645
515	2980	1640
516	2987	1635
517	2997	1631
518	3004	1626
519	3011	1621
520	3018	1616
521	3026	1611
522	3033	1606
523	3039	1600
524	3045	1595
525	3051	1589
526	3057	1583
527	3063	1578
528	3069	1572
529	3074	1566
530	3081	1561
531	3087	1555
532	3093	1549
533	3099	1543
534	3104	1537
535	3110	1532
536	3116	1526
537	3121	1520
538	3129	1515
539	3135	1509
540	3146	1506
541	3151	1500
542	3157	1494
543	3163	1488
544	3168	1482
545	3174	1476
546	3181	1471
547	3186	1465
548	3193	1459
549	3198	1453
550	3204	1448
551	3209	1442
552	3215	1436
553	3220	1430
554	3226	1424
555	3232	1418
556	3238	1413
557	3245	1407
558	3250	1401
559	3258	1396
560	3264	1390
561	3268	1384
562	3274	1378
563	3281	1373
564	3287	1367
565	3294	1362
566	3301	1356
567	3307	1350
568	3313	1345
569	3320	1339
570	3326	1334
571	3332	1328
572	3338	1322
573	3343	1316
574	3350	1310
575	3355	1304
576	3362	1299
577	3368	1293
578	3373	1287
579	3379	1281
580	3384	1275
581	3390	1270
582	3396	1264
583	3401	1258
584	3406	1252
585	3411	1245
586	3416	1239
587	3421	1233
588	3426	1227
589	3430	1221
590	3436	1215
591	3441	1209
592	3446	1202
593	3451	1196
594	3455	1190
595	3459	1184
596	3464	1178
597	3469	1171
598	3474	1165
599	3478	1159
600	3482	1153
601	3487	1146
602	3491	1140
603	3496	1134
604	3501	1128
605	3506	1122
606	3510	1116
607	3515	1110
608	3520	1104
609	3525	1098
610	3531	1092
611	3537	1086
612	3542	1080
613	3546	1074
614	3551	1068
615	3556	1062
616	3562	1056
617	3568	1050
618	3573	1044
619	3577	1038
620	3583	1032
621	3587	1026
622	3592	1020
623	3597	1014
624	3602	1008
625	3607	1002
626	3611	996
627	3617	990
628	3622	984
629	3627	978
630	3632	973
631	3637	967
632	3642	960
633	3647	954
634	3653	949
635	3659	943
636	3664	937
637	3670	931
638	3675	926
639	3681	920
640	3686	914
641	3691	908
642	3698	903
643	3705	897
644	3710	891
645	3716	886
646	3722	880
647	3727	874
648	3732	868
649	3748	865
650	3754	859
651	3759	853
652	3765	847
653	3770	841
654	3775	835
655	3780	829
656	3785	823
657	3790	818
658	3796	812
659	3801	806
660	3805	800
661	3810	794
662	3815	788
663	3820	782
664	3825	776
665	3830	770
666	3835	764
667	3840	758
668	3845	753
669	3850	747
670	3855	741
671	3860	735
672	3864	729
673	3869	723
674	3873	717
675	3878	711
676	3882	705
677	3886	699
678	3891	693
679	3895	687
680	3899	681
681	3903	675
682	3908	669
683	3913	663
684	3917	657
685	3924	652
686	3929	646
687	3935	640
688	3939	634
689	3943	628
690	3948	622
691	3954	617
692	3960	611
693	3968	606
694	3973	600
695	3978	594
696	3983	588
697	3987	582
698	3992	576
699	3997	571
700	4001	565
701	4006	559
702	4011	553
703	4015	547
704	4020	541
705	4025	535
706	4029	530
707	4034	524
708	4039	518
709	4044	512
710	4048	506
711	4053	501
712	4059	495
713	4064	489
714	4069	483
715	4074	477
716	4078	472
717	4083	466
718	4088	460
719	4093	454
720	4097	448
721	4101	443
722	4106	437
723	4110	431
724	4115	425
725	4120	419
726	4124	414
727	4129	408
728	4134	402
729	4139	396
730	4143	391
731	4148	385
732	4152	379
733	4157	373
734	4161	368
735	4166	362
736	4170	356
737	4175	350
738	4179	345
739	4184	339
740	4187	333
741	4192	327
742	4197	322
743	4201	316
744	4206	310
745	4211	304
746	4215	299
747	4219	293
748	4224	287
749	4228	281
750	4232	276
751	4237	270
752	4242	264
753	4246	259
754	4251	253
755	4257	247
756	4261	242
757	4266	236
758	4271	230
759	4276	225
760	4281	219
761	4285	213
762	4290	208
763	4294	202
764	4298	196
765	4303	190
766	4307	185
767	4312	179
768	4316	174
769	4320	168
770	4325	162
771	4330	157
772	4334	151
773	4338	145
774	4342	140
775	4346	134
776	4350	128
777	4354	123
778	4358	117
779	4362	111
780	4367	106
781	4371	100
782	4374	94
783	4378	89
784	4383	83
785	4387	78
786	4391	72
787	4395	66
788	4399	61
789	4403	55
790	4407	50
791	4412	44
792	4416	38
793	4420	33
794	4425	27
795	4429	22
796	4433	16
797	4437	11
798	4441	5
799	4445	0
